control number,PRE:answer,POST:answer,PRE:correct,POST:correct,score change,improved
5,"A, B, at C","A, B, at C",1,1,0,0
6,"A, B, at C","A, B, at C",1,1,0,0
7,Malalang Pneumonia (Severe Pneumonia),Organ Failure,0,0,0,0
8,Posibleng pagkamatay,Malalang Pneumonia (Severe Pneumonia),0,0,0,0
9,Malalang Pneumonia (Severe Pneumonia),Malalang Pneumonia (Severe Pneumonia),0,0,0,0
11,"A, B, at C","A, B, at C",1,1,0,0
14,"A, B, at C","A, B, at C",1,1,0,0
18,"A, B, at C","A, B, at C",1,1,0,0
19,"A, B, at C","A, B, at C",1,1,0,0
21,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
22,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
23,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
24,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
25,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
26,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
27,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
28,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
29,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
30,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
31,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
32,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
33,"A, B, at C","A, B, at C",1,1,0,0
35,Malalang Pneumonia (Severe Pneumonia),Malalang Pneumonia (Severe Pneumonia),0,0,0,0
38,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
39,"A, B, at C",Malalang Pneumonia (Severe Pneumonia),1,0,1,0
44,"A, B, at C","A, B, at C",1,1,0,0
49,"A, B, at C","A, B, at C",1,1,0,0
51,"A, B, at C","A, B, at C",1,1,0,0
52,Organ Failure,"A, B, at C",0,1,1,1
53,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
54,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
55,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
56,Organ Failure,"A, B, at C",0,1,1,1
57,Organ Failure,"A, B, at C",0,1,1,1
58,Organ Failure,"A, B, at C",0,1,1,1
59,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
60,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
61,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
62,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
63,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
64,"A, B, at C","A, B, at C",1,1,0,0
74,Malalang Pneumonia (Severe Pneumonia),Malalang Pneumonia (Severe Pneumonia),0,0,0,0
75,Malalang Pneumonia (Severe Pneumonia),Malalang Pneumonia (Severe Pneumonia),0,0,0,0
76,Malalang Pneumonia (Severe Pneumonia),Malalang Pneumonia (Severe Pneumonia),0,0,0,0
85,"A, B, at C","A, B, at C",1,1,0,0
86,"A, B, at C","A, B, at C",1,1,0,0
87,"A, B, at C","A, B, at C",1,1,0,0
88,"A, B, at C","A, B, at C",1,1,0,0
90,"A, B, at C","A, B, at C",1,1,0,0
92,"A, B, at C","A, B, at C",1,1,0,0
94,"A, B, at C","A, B, at C",1,1,0,0
95,Organ Failure,"A, B, at C",0,1,1,1
96,"A, B, at C","A, B, at C",1,1,0,0
97,"A, B, at C","A, B, at C",1,1,0,0
98,"A, B, at C","A, B, at C",1,1,0,0
103,Posibleng pagkamatay,"A, B, at C",0,1,1,1
104,"A, B, at C","A, B, at C",1,1,0,0
106,"A, B, at C","A, B, at C",1,1,0,0
107,Posibleng pagkamatay,Posibleng pagkamatay,0,0,0,0
108,"A, B, at C","A, B, at C",1,1,0,0
110,"A, B, at C","A, B, at C",1,1,0,0
114,"A, B, at C","A, B, at C",1,1,0,0
115,"A, B, at C","A, B, at C",1,1,0,0
117,"A, B, at C","A, B, at C",1,1,0,0
118,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
119,"A, B, at C","A, B, at C",1,1,0,0
120,"A, B, at C","A, B, at C",1,1,0,0
121,"A, B, at C","A, B, at C",1,1,0,0
122,"A, B, at C","A, B, at C",1,1,0,0
123,"A, B, at C","A, B, at C",1,1,0,0
124,"A, B, at C","A, B, at C",1,1,0,0
125,"A, B, at C","A, B, at C",1,1,0,0
126,"A, B, at C","A, B, at C",1,1,0,0
127,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
128,"A, B, at C","A, B, at C",1,1,0,0
129,"A, B, at C","A, B, at C",1,1,0,0
130,"A, B, at C","A, B, at C",1,1,0,0
131,Organ Failure,"A, B, at C",0,1,1,1
132,"A, B, at C","A, B, at C",1,1,0,0
133,"A, B, at C","A, B, at C",1,1,0,0
135,"A, B, at C","A, B, at C",1,1,0,0
136,"A, B, at C","A, B, at C",1,1,0,0
137,"A, B, at C","A, B, at C",1,1,0,0
138,"A, B, at C","A, B, at C",1,1,0,0
141,Posibleng pagkamatay,"A, B, at C",0,1,1,1
143,"A, B, at C","A, B, at C",1,1,0,0
145,"A, B, at C","A, B, at C",1,1,0,0
146,"A, B, at C","A, B, at C",1,1,0,0
147,"A, B, at C","A, B, at C",1,1,0,0
148,"A, B, at C","A, B, at C",1,1,0,0
149,Posibleng pagkamatay,"A, B, at C",0,1,1,1
150,Posibleng pagkamatay,"A, B, at C",0,1,1,1
152,Posibleng pagkamatay,"A, B, at C",0,1,1,1
153,Malalang Pneumonia (Severe Pneumonia),"A, B, at C",0,1,1,1
154,Posibleng pagkamatay,"A, B, at C",0,1,1,1
155,Posibleng pagkamatay,"A, B, at C",0,1,1,1
156,Posibleng pagkamatay,Malalang Pneumonia (Severe Pneumonia),0,0,0,0
157,Posibleng pagkamatay,"A, B, at C",0,1,1,1
158,Posibleng pagkamatay,"A, B, at C",0,1,1,1
159,Posibleng pagkamatay,"A, B, at C",0,1,1,1
