control number,PRE:answer,POST:answer,PRE:correct,POST:correct,score change,improved
5,Teachers,Teachers,1,1,0,0
6,Person with Commorbidities,Medical  frontliners,0,0,0,0
7,Teachers,Person with Commorbidities,1,0,1,0
8,Medical  frontliners,Medical  frontliners,0,0,0,0
9,Person with Commorbidities,Person with Commorbidities,0,0,0,0
11,Teachers,Teachers,1,1,0,0
14,Teachers,Teachers,1,1,0,0
18,Teachers,Teachers,1,1,0,0
19,Teachers,Teachers,1,1,0,0
21,Medical  frontliners,Teachers,0,1,1,1
22,Medical  frontliners,Teachers,0,1,1,1
23,Medical  frontliners,Teachers,0,1,1,1
24,Medical  frontliners,Teachers,0,1,1,1
25,Medical  frontliners,Teachers,0,1,1,1
26,Medical  frontliners,Teachers,0,1,1,1
27,Medical  frontliners,Teachers,0,1,1,1
28,Medical  frontliners,Teachers,0,1,1,1
29,Medical  frontliners,Teachers,0,1,1,1
30,Medical  frontliners,Teachers,0,1,1,1
31,Medical  frontliners,Teachers,0,1,1,1
32,Medical  frontliners,Teachers,0,1,1,1
33,Teachers,Teachers,1,1,0,0
35,Teachers,Teachers,1,1,0,0
38,Teachers,Teachers,1,1,0,0
39,Teachers,Teachers,1,1,0,0
44,Medical  frontliners,Medical  frontliners,0,0,0,0
49,Person with Commorbidities,Person with Commorbidities,0,0,0,0
51,Teachers,Teachers,1,1,0,0
52,Teachers,Teachers,1,1,0,0
53,Medical  frontliners,Teachers,0,1,1,1
54,Medical  frontliners,Teachers,0,1,1,1
55,Medical  frontliners,Teachers,0,1,1,1
56,Medical  frontliners,Teachers,0,1,1,1
57,Medical  frontliners,Teachers,0,1,1,1
58,Medical  frontliners,Teachers,0,1,1,1
59,Medical  frontliners,Teachers,0,1,1,1
60,Medical  frontliners,Teachers,0,1,1,1
61,Medical  frontliners,Teachers,0,1,1,1
62,Medical  frontliners,Teachers,0,1,1,1
63,Medical  frontliners,Teachers,0,1,1,1
64,Medical  frontliners,Teachers,0,1,1,1
74,Teachers,Teachers,1,1,0,0
75,Teachers,Teachers,1,1,0,0
76,Teachers,Teachers,1,1,0,0
81,Teachers,Teachers,1,1,0,0
82,Teachers,Teachers,1,1,0,0
85,Medical  frontliners,Teachers,0,1,1,1
86,Medical  frontliners,Teachers,0,1,1,1
87,Medical  frontliners,Teachers,0,1,1,1
88,Medical  frontliners,Teachers,0,1,1,1
90,Medical  frontliners,Teachers,0,1,1,1
92,Medical  frontliners,Teachers,0,1,1,1
94,Medical  frontliners,Teachers,0,1,1,1
95,Person with Commorbidities,Teachers,0,1,1,1
96,Medical  frontliners,Teachers,0,1,1,1
97,Person with Commorbidities,Person with Commorbidities,0,0,0,0
98,Teachers,Teachers,1,1,0,0
103,Medical  frontliners,Person with Commorbidities,0,0,0,0
104,Person with Commorbidities,Person with Commorbidities,0,0,0,0
106,Medical  frontliners,Medical  frontliners,0,0,0,0
107,Teachers,Person with Commorbidities,1,0,1,0
108,Senior citizens,Medical  frontliners,0,0,0,0
110,Senior citizens,Person with Commorbidities,0,0,0,0
114,Senior citizens,Senior citizens,0,0,0,0
115,Person with Commorbidities,Teachers,0,1,1,1
117,Medical  frontliners,Teachers,0,1,1,1
118,Medical  frontliners,Teachers,0,1,1,1
119,Medical  frontliners,Teachers,0,1,1,1
120,Medical  frontliners,Teachers,0,1,1,1
121,Medical  frontliners,Teachers,0,1,1,1
122,Medical  frontliners,Teachers,0,1,1,1
123,Medical  frontliners,Teachers,0,1,1,1
124,Medical  frontliners,Teachers,0,1,1,1
125,Medical  frontliners,Teachers,0,1,1,1
126,Medical  frontliners,Teachers,0,1,1,1
127,Medical  frontliners,Teachers,0,1,1,1
128,Medical  frontliners,Teachers,0,1,1,1
129,Teachers,Teachers,1,1,0,0
130,Teachers,Teachers,1,1,0,0
131,Teachers,Teachers,1,1,0,0
132,Teachers,Teachers,1,1,0,0
133,Medical  frontliners,Medical  frontliners,0,0,0,0
135,Medical  frontliners,Medical  frontliners,0,0,0,0
136,Medical  frontliners,Medical  frontliners,0,0,0,0
137,Medical  frontliners,Medical  frontliners,0,0,0,0
138,Medical  frontliners,Medical  frontliners,0,0,0,0
141,Teachers,Teachers,1,1,0,0
143,Medical  frontliners,Senior citizens,0,0,0,0
145,Person with Commorbidities,Person with Commorbidities,0,0,0,0
146,Teachers,Person with Commorbidities,1,0,1,0
147,Teachers,Teachers,1,1,0,0
148,Teachers,Teachers,1,1,0,0
149,Medical  frontliners,Teachers,0,1,1,1
150,Medical  frontliners,Teachers,0,1,1,1
152,Medical  frontliners,Teachers,0,1,1,1
153,Medical  frontliners,Teachers,0,1,1,1
154,Medical  frontliners,Teachers,0,1,1,1
155,Medical  frontliners,Teachers,0,1,1,1
156,Medical  frontliners,Teachers,0,1,1,1
157,Medical  frontliners,Teachers,0,1,1,1
158,Medical  frontliners,Teachers,0,1,1,1
159,Medical  frontliners,Teachers,0,1,1,1
160,Medical  frontliners,Teachers,0,1,1,1
162,Senior citizens,Senior citizens,0,0,0,0
166,Teachers,Teachers,1,1,0,0
169,Teachers,Teachers,1,1,0,0
178,Teachers,Teachers,1,1,0,0
180,Teachers,Teachers,1,1,0,0
181,Medical  frontliners,Teachers,0,1,1,1
182,Medical  frontliners,Medical  frontliners,0,0,0,0
183,Medical  frontliners,Teachers,0,1,1,1
184,Medical  frontliners,Teachers,0,1,1,1
185,Medical  frontliners,Teachers,0,1,1,1
186,Medical  frontliners,Teachers,0,1,1,1
187,Medical  frontliners,Teachers,0,1,1,1
188,Medical  frontliners,Teachers,0,1,1,1
189,Medical  frontliners,Teachers,0,1,1,1
190,Medical  frontliners,Teachers,0,1,1,1
191,Medical  frontliners,Teachers,0,1,1,1
192,Senior citizens,Teachers,0,1,1,1
194,Teachers,Teachers,1,1,0,0
195,Medical  frontliners,Medical  frontliners,0,0,0,0
196,Person with Commorbidities,Person with Commorbidities,0,0,0,0
197,Teachers,Teachers,1,1,0,0
198,Teachers,Teachers,1,1,0,0
199,Teachers,Teachers,1,1,0,0
204,Teachers,Teachers,1,1,0,0
205,Senior citizens,Teachers,0,1,1,1
206,Senior citizens,Senior citizens,0,0,0,0
212,Teachers,Person with Commorbidities,1,0,1,0
213,Teachers,Teachers,1,1,0,0
214,Medical  frontliners,Teachers,0,1,1,1
216,Teachers,Teachers,1,1,0,0
217,Medical  frontliners,Teachers,0,1,1,1
218,Medical  frontliners,Teachers,0,1,1,1
