control number,PRE:answer,POST:answer,PRE:correct,POST:correct,score change,improved
5,"Wala, libre ito sa prayoridad na grupo","Wala, libre ito sa prayoridad na grupo",1,1,0,0
6,Php 1000 sa dalawang dose,Php 650 bawat dose,0,0,0,0
7,Php 1000 bawat dose,Php 1000 sa dalawang dose,0,0,0,0
8,"Wala, libre ito sa prayoridad na grupo","Wala, libre ito sa prayoridad na grupo",1,1,0,0
9,"Wala, libre ito sa prayoridad na grupo","Wala, libre ito sa prayoridad na grupo",1,1,0,0
10,"Wala, libre ito sa prayoridad na grupo","Wala, libre ito sa prayoridad na grupo",1,1,0,0
11,"Wala, libre ito sa prayoridad na grupo","Wala, libre ito sa prayoridad na grupo",1,1,0,0
13,Php 650 bawat dose,"Wala, libre ito sa prayoridad na grupo",0,1,1,1
14,"Wala, libre ito sa prayoridad na grupo","Wala, libre ito sa prayoridad na grupo",1,1,0,0
15,"Wala, libre ito sa prayoridad na grupo","Wala, libre ito sa prayoridad na grupo",1,1,0,0
17,Php 1000 bawat dose,Php 1000 bawat dose,0,0,0,0
18,Php 1000 sa dalawang dose,"Wala, libre ito sa prayoridad na grupo",0,1,1,1
19,"Wala, libre ito sa prayoridad na grupo",Php 1000 bawat dose,1,0,1,0
21,"Wala, libre ito sa prayoridad na grupo","Wala, libre ito sa prayoridad na grupo",1,1,0,0
22,"Wala, libre ito sa prayoridad na grupo","Wala, libre ito sa prayoridad na grupo",1,1,0,0
23,"Wala, libre ito sa prayoridad na grupo","Wala, libre ito sa prayoridad na grupo",1,1,0,0
25,"Wala, libre ito sa prayoridad na grupo","Wala, libre ito sa prayoridad na grupo",1,1,0,0
26,"Wala, libre ito sa prayoridad na grupo","Wala, libre ito sa prayoridad na grupo",1,1,0,0
27,"Wala, libre ito sa prayoridad na grupo","Wala, libre ito sa prayoridad na grupo",1,1,0,0
28,"Wala, libre ito sa prayoridad na grupo","Wala, libre ito sa prayoridad na grupo",1,1,0,0
29,"Wala, libre ito sa prayoridad na grupo","Wala, libre ito sa prayoridad na grupo",1,1,0,0
30,"Wala, libre ito sa prayoridad na grupo","Wala, libre ito sa prayoridad na grupo",1,1,0,0
